sample_id,waste_type,data_source,paper_ref_no,cement_kg_m3,water_cement_ratio,curing_days,rac_%,rcwtb_%,ceramic_%,plastic_%,total_replacement_%,compressive_strength_mpa,flexural_strength_mpa,split_tensile_strength_mpa,chloride_penetration_mm,marine_durability_score,co2_emission_kg_m3,cost_usd_m3
1637,RAC,real,See Table 3 (compiled sources),450.0,0.33,28.0,2.0,0.0,0.0,0.0,2.0,68.3,8.28,6.0,11.01,8.2,363.4,78.4
1638,RCWTB,augmented_literature_based,This study (synthetic augmentation),425.5,0.331,14.0,43.9,14.6,0.0,0.0,58.5,57.3,6.76,5.68,12.92,9.1,293.2,67.3
1639,RAC,real,See Table 3 (compiled sources),388.0,0.299,7.0,30.0,0.0,0.0,0.0,30.0,38.9,4.15,3.2,15.31,7.5,297.6,51.9
1640,RAC,real,See Table 3 (compiled sources),358.0,0.498044693,28.0,0.0,0.0,0.0,0.0,0.0,36.5,3.43,3.36,21.26,5.5,299.7,52.5
1641,RAC,real,See Table 3 (compiled sources),350.0,0.37,3.0,1.0,0.0,0.0,0.0,1.0,27.7,3.29,2.32,14.65,6.6,280.4,57.8
1642,RAC,real,See Table 3 (compiled sources),509.0,0.434,7.0,100.0,0.0,0.0,0.0,100.0,37.5,4.26,3.31,24.41,5.3,330.9,51.1
1643,RAC,real,See Table 3 (compiled sources),350.0,0.42,28.0,2.0,0.0,0.0,0.0,2.0,62.0,7.18,5.39,11.99,7.9,284.1,72.3
1644,RAC,real,See Table 3 (compiled sources),340.0,0.57,28.0,1.0,0.0,0.0,0.0,1.0,38.5,4.69,3.29,21.85,5.4,275.7,59.0
1645,RAC_FreezeThaw,real,See Table 3 (compiled sources),458.0,0.332,60.0,45.3,0.0,0.0,0.0,45.3,60.8,7.27,5.39,11.86,8.5,340.3,68.9
1646,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.6,28.0,20.0,0.0,0.0,0.0,20.0,42.9,4.7,3.79,22.74,4.7,288.8,49.8
1647,RAC,real,See Table 3 (compiled sources),400.0,0.44,3.0,2.0,0.0,0.0,0.0,2.0,37.6,4.89,3.31,19.18,6.0,322.5,66.1
1648,RAC,real,See Table 3 (compiled sources),410.0,0.549,7.0,0.0,0.0,0.0,0.0,0.0,30.2,3.76,2.85,23.22,4.6,340.8,63.5
1649,RAC,real,See Table 3 (compiled sources),513.0,0.4,28.0,0.0,0.0,0.0,0.0,0.0,38.9,4.66,3.47,14.84,6.6,420.0,74.0
1650,RAC,real,See Table 3 (compiled sources),350.0,0.41,3.0,1.0,0.0,0.0,0.0,1.0,36.8,4.55,3.31,18.03,6.9,283.5,65.6
1651,Combined,augmented_literature_based,This study (synthetic augmentation),467.8,0.373,14.0,36.6,14.1,5.1,5.8,61.6,57.4,6.73,5.31,12.85,9.5,333.6,63.9
1652,RAC,real,See Table 3 (compiled sources),500.0,0.36,28.0,1.0,0.0,0.0,0.0,1.0,61.0,7.46,5.58,11.77,7.6,406.5,80.0
1653,RAC,real,"Mahmoudian, Bypour & Kontoni 2024, Asian J. Civil Eng. (Ref 45)",380.0,0.65,28.0,100.0,0.0,0.0,0.0,100.0,42.0,4.61,3.61,30.0,3.6,224.8,32.7
1654,RAC,real,See Table 3 (compiled sources),371.0,0.5,28.0,24.0,0.0,0.0,0.0,24.0,39.5,4.938870968,2.5,20.38,5.6,282.3,50.4
1655,RAC,real,See Table 3 (compiled sources),454.5,0.277227723,90.0,0.0,0.0,0.0,0.0,0.0,89.9,9.0,6.0,3.09,10.0,369.6,94.9
1656,RAC,real,See Table 3 (compiled sources),410.0,0.5,7.0,0.0,0.0,0.0,0.0,0.0,42.8,4.77,3.73,19.8,5.6,338.6,63.7
1657,RAC,real,See Table 3 (compiled sources),350.0,0.45,28.0,50.0,0.0,0.0,0.0,50.0,55.0,6.99,4.91,19.92,6.1,245.1,49.0
1658,RAC,real,See Table 3 (compiled sources),500.0,0.34,56.0,1.0,0.0,0.0,0.0,1.0,67.0,7.86,6.0,7.57,9.1,414.8,84.9
1659,Combined,augmented_literature_based,This study (synthetic augmentation),508.5,0.514,14.0,21.9,10.3,5.3,6.8,44.3,44.7,5.78,3.77,20.75,6.2,382.5,71.3
1660,RAC,real,See Table 3 (compiled sources),537.0,0.41,28.0,45.0,0.0,0.0,0.0,45.0,50.3,6.38,4.85,18.68,6.7,391.7,75.1
1661,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),448.7,0.309,90.0,39.5,7.5,0.0,0.0,47.0,73.7,8.89,6.0,6.37,10.0,333.9,75.4
1662,Combined,augmented_literature_based,This study (synthetic augmentation),345.2,0.592,7.0,18.6,11.8,8.5,5.6,44.5,44.6,4.74,3.9,23.72,6.3,255.8,45.9
1663,RAC,real,See Table 3 (compiled sources),300.0,0.53,56.0,1.0,0.0,0.0,0.0,1.0,50.4,6.33,4.81,17.79,6.3,238.1,51.6
1664,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),379.7,0.517,56.0,36.0,18.5,0.0,0.0,54.5,54.2,6.48,4.84,16.2,8.4,266.9,52.9
1665,RAC,real,See Table 3 (compiled sources),210.0,0.57,56.0,2.0,0.0,0.0,0.0,2.0,39.2,5.66,3.54,20.14,5.7,169.6,40.3
1666,RAC,real,See Table 3 (compiled sources),330.0,0.56,56.0,1.0,0.0,0.0,0.0,1.0,42.9,4.94,4.15,18.19,6.0,265.7,56.3
1667,RAC_FreezeThaw,real,See Table 3 (compiled sources),336.0,0.643,60.0,44.2,0.0,0.0,0.0,44.2,37.5,4.58,2.98,26.51,4.5,239.0,43.9
1668,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.65,28.0,20.0,0.0,0.0,0.0,20.0,39.5,4.49,3.54,24.79,5.0,300.3,62.8
1669,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.54,28.0,100.0,0.0,0.0,0.0,100.0,37.7,5.13,3.3,28.27,4.1,229.4,33.5
1670,RAC,real,See Table 3 (compiled sources),210.0,0.5,28.0,1.0,0.0,0.0,0.0,1.0,31.6,3.38,3.37,19.48,6.6,179.4,41.0
1671,RAC,real,See Table 3 (compiled sources),280.0,0.4,3.0,1.0,0.0,0.0,0.0,1.0,24.1,3.36,1.92,18.17,6.9,230.7,38.9
1672,RAC,real,See Table 3 (compiled sources),280.0,0.4,3.0,1.0,0.0,0.0,0.0,1.0,22.0,2.64,2.04,18.04,6.8,212.2,41.6
1673,RAC,real,See Table 3 (compiled sources),340.0,0.57,3.0,1.0,0.0,0.0,0.0,1.0,21.0,2.52,1.71,26.21,3.7,279.9,50.8
1674,RAC,real,See Table 3 (compiled sources),210.0,0.55,28.0,1.0,0.0,0.0,0.0,1.0,39.1,5.14,3.79,20.95,5.4,175.2,43.3
1675,RAC,real,See Table 3 (compiled sources),410.0,0.549,28.0,0.0,0.0,0.0,0.0,0.0,66.8,8.53,5.8,16.63,6.4,329.9,76.4
1676,RAC,real,See Table 3 (compiled sources),280.0,0.44,28.0,2.0,0.0,0.0,0.0,2.0,42.8,5.81,3.94,18.05,5.8,231.6,43.8
1677,RAC,real,See Table 3 (compiled sources),280.0,0.57,56.0,1.0,0.0,0.0,0.0,1.0,49.9,6.17,4.53,20.02,5.7,233.3,56.6
1678,RAC,real,See Table 3 (compiled sources),425.0,0.435294118,28.0,100.0,0.0,0.0,0.0,100.0,53.2,6.95,4.93,23.95,5.9,250.5,42.3
1679,RAC,real,See Table 3 (compiled sources),210.0,0.57,28.0,2.0,0.0,0.0,0.0,2.0,33.1,3.6,3.17,21.9,5.4,178.7,35.5
1680,RAC,real,See Table 3 (compiled sources),350.0,0.33,3.0,1.0,0.0,0.0,0.0,1.0,30.7,3.79,2.94,14.56,6.8,290.9,52.4
1681,Ceramic,augmented_literature_based,This study (synthetic augmentation),481.0,0.309,14.0,30.8,0.0,9.0,0.0,39.8,61.8,7.28,5.72,11.46,8.3,366.5,75.0
1682,RAC,real,See Table 3 (compiled sources),400.0,0.42,56.0,1.0,0.0,0.0,0.0,1.0,60.2,7.72,5.22,12.73,7.7,322.1,70.3
1683,RAC,real,See Table 3 (compiled sources),537.0,0.41,28.0,60.0,0.0,0.0,0.0,60.0,47.5,5.41,4.15,19.63,6.1,386.5,69.1
1684,RAC,real,See Table 3 (compiled sources),350.0,0.33,3.0,2.0,0.0,0.0,0.0,2.0,29.4,4.26,2.67,14.56,7.1,287.7,52.3
1685,RAC,real,See Table 3 (compiled sources),380.0,0.45,3.0,1.0,0.0,0.0,0.0,1.0,35.9,4.44,3.18,19.29,5.9,311.1,59.6
1686,RAC,real,See Table 3 (compiled sources),280.0,0.4,28.0,1.0,0.0,0.0,0.0,1.0,47.9,5.46,4.24,13.4,7.6,233.9,46.3
1687,RAC,real,See Table 3 (compiled sources),410.0,0.549,28.0,79.5,0.0,0.0,0.0,79.5,39.2,4.68,3.48,27.13,4.3,264.4,47.3
1688,RAC,real,See Table 3 (compiled sources),450.0,0.42,56.0,2.0,0.0,0.0,0.0,2.0,60.4,6.52,5.45,12.11,8.0,367.5,75.5
1689,RAC,real,See Table 3 (compiled sources),349.2,0.332,56.0,45.0,0.0,0.0,0.0,45.0,60.4,7.5,5.65,13.52,8.3,245.0,57.3
1690,Ceramic,augmented_literature_based,This study (synthetic augmentation),421.6,0.478,90.0,20.7,0.0,10.9,0.0,31.6,62.6,7.24,5.51,14.73,8.3,315.1,71.4
1691,RAC,real,See Table 3 (compiled sources),454.5,0.277227723,90.0,0.0,0.0,0.0,0.0,0.0,89.9,9.0,6.0,2.98,10.0,374.1,89.0
1692,RAC,real,See Table 3 (compiled sources),380.0,0.61,28.0,20.0,0.0,0.0,0.0,20.0,38.0,4.55,3.63,22.76,5.0,289.0,60.1
1693,RAC,real,See Table 3 (compiled sources),280.0,0.42,56.0,2.0,0.0,0.0,0.0,2.0,55.3,6.76,5.09,13.47,7.7,228.2,46.6
1694,RAC,real,See Table 3 (compiled sources),340.0,0.54,3.0,2.0,0.0,0.0,0.0,2.0,26.1,3.17,2.63,22.31,4.9,271.9,54.0
1695,RCWTB,augmented_literature_based,This study (synthetic augmentation),467.2,0.469,7.0,39.7,6.0,0.0,0.0,45.7,49.6,5.97,4.44,20.96,6.0,344.4,67.2
1696,RAC,real,See Table 3 (compiled sources),500.0,0.38,28.0,100.0,0.0,0.0,0.0,100.0,60.2,6.75,5.35,19.52,6.8,318.1,55.5
1697,RAC,real,See Table 3 (compiled sources),380.0,0.58,28.0,50.0,0.0,0.0,0.0,50.0,44.6,5.19,4.3,26.15,4.4,264.8,53.9
1698,RAC,real,"Hoang 2024, Mathematics (Ref 9)",250.0,0.654,7.0,100.0,0.0,0.0,0.0,100.0,17.2,2.0,1.52,30.0,3.1,118.0,15.0
1699,RAC,real,See Table 3 (compiled sources),350.0,0.42,3.0,2.0,0.0,0.0,0.0,2.0,35.6,4.46,3.46,17.66,6.6,284.9,53.6
1700,RAC,real,See Table 3 (compiled sources),210.0,0.54,28.0,1.0,0.0,0.0,0.0,1.0,33.8,4.41,2.87,20.43,5.2,160.9,37.8
1701,RAC,real,See Table 3 (compiled sources),450.0,0.35,56.0,1.0,0.0,0.0,0.0,1.0,69.1,8.63,6.0,8.72,9.2,372.5,82.3
1702,RAC,real,See Table 3 (compiled sources),400.0,0.42,3.0,1.0,0.0,0.0,0.0,1.0,35.0,4.01,3.01,18.15,6.2,334.6,67.5
1703,RAC,real,See Table 3 (compiled sources),454.5,0.289108911,28.0,7.7,0.0,0.0,0.0,7.7,72.9,8.65,6.0,8.72,8.7,366.9,80.0
1704,RAC,real,See Table 3 (compiled sources),450.0,0.33,3.0,2.0,0.0,0.0,0.0,2.0,44.5,5.17,4.03,13.85,7.5,367.5,74.0
1705,RAC,real,See Table 3 (compiled sources),350.0,0.33,28.0,2.0,0.0,0.0,0.0,2.0,59.5,7.62,5.42,10.29,8.6,281.8,65.1
1706,Ceramic,augmented_literature_based,This study (synthetic augmentation),368.8,0.399,7.0,28.3,0.0,5.8,0.0,34.1,52.3,6.54,4.79,15.67,7.2,271.3,52.7
1707,RAC,real,See Table 3 (compiled sources),450.0,0.43,3.0,2.0,0.0,0.0,0.0,2.0,32.2,3.63,2.79,17.84,5.9,369.2,71.2
1708,RAC,real,See Table 3 (compiled sources),340.0,0.53,3.0,2.0,0.0,0.0,0.0,2.0,25.2,2.92,2.26,24.74,4.9,281.2,54.7
1709,RAC,real,See Table 3 (compiled sources),450.0,0.42,3.0,2.0,0.0,0.0,0.0,2.0,34.3,4.28,3.17,16.53,7.1,374.1,66.6
1710,RAC,real,See Table 3 (compiled sources),340.0,0.53,3.0,2.0,0.0,0.0,0.0,2.0,25.2,2.64,2.28,21.62,5.1,280.1,50.9
1711,RAC,real,See Table 3 (compiled sources),262.0,0.649,7.0,100.0,0.0,0.0,0.0,100.0,16.0,2.0,1.5,30.0,3.2,139.7,15.0
1712,RAC,real,See Table 3 (compiled sources),210.0,0.6,56.0,1.0,0.0,0.0,0.0,1.0,38.8,4.53,3.7,20.87,4.9,177.9,41.1
1713,RAC,real,See Table 3 (compiled sources),300.0,0.65,28.0,0.0,0.0,0.0,0.0,0.0,43.0,4.93,3.66,24.28,4.5,239.1,53.4
1714,RAC,real,See Table 3 (compiled sources),280.0,0.43,3.0,2.0,0.0,0.0,0.0,2.0,24.3,2.89,2.33,19.22,6.0,225.0,43.0
1715,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.56,28.0,100.0,0.0,0.0,0.0,100.0,31.2,3.88,2.57,29.42,3.4,219.7,37.3
1716,RAC,real,See Table 3 (compiled sources),243.0,0.7,90.0,100.0,0.0,0.0,0.0,100.0,55.0,6.79,5.45,29.36,4.0,110.3,25.6
1717,RAC,real,See Table 3 (compiled sources),280.0,0.58,28.0,1.0,0.0,0.0,0.0,1.0,43.3,5.41,4.01,20.51,5.5,230.4,53.7
1718,RAC,real,See Table 3 (compiled sources),385.0,0.384,28.0,100.0,0.0,0.0,0.0,100.0,30.0,3.29,2.64,26.66,5.0,232.8,34.6
1719,RAC,real,See Table 3 (compiled sources),450.0,0.42,3.0,1.0,0.0,0.0,0.0,1.0,33.3,3.7,3.2,17.47,6.1,371.1,62.4
1720,RAC,real,See Table 3 (compiled sources),280.0,0.46,3.0,1.0,0.0,0.0,0.0,1.0,22.8,2.77,2.17,18.82,5.9,233.7,41.7
1721,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.52,28.0,0.0,0.0,0.0,0.0,0.0,41.8,4.81,3.55,18.86,5.9,314.4,71.2
1722,RAC,real,See Table 3 (compiled sources),537.0,0.409683426,28.0,15.0,0.0,0.0,0.0,15.0,54.0,6.63,4.77,14.43,7.5,420.0,78.0
1723,RAC,real,See Table 3 (compiled sources),417.15,0.45,14.0,0.0,0.0,0.0,0.0,0.0,21.0,2.9,1.92,19.74,5.3,342.3,54.4
1724,RAC,real,See Table 3 (compiled sources),210.0,0.56,3.0,1.0,0.0,0.0,0.0,1.0,17.4,2.03,1.53,24.77,4.7,175.9,31.3
1725,RAC,real,See Table 3 (compiled sources),300.0,0.56,3.0,2.0,0.0,0.0,0.0,2.0,23.7,3.13,2.04,24.99,4.2,247.4,40.2
1726,RAC,real,See Table 3 (compiled sources),394.0,0.47,28.0,0.0,0.0,0.0,0.0,0.0,36.5,4.71,2.82,17.76,5.9,323.5,62.8
1727,RAC,real,See Table 3 (compiled sources),210.0,0.53,28.0,2.0,0.0,0.0,0.0,2.0,37.2,4.24,3.27,21.43,5.7,167.1,42.0
1728,Ceramic,real,See Table 3 (compiled sources),550.0,0.35,28.0,0.0,0.0,30.0,0.0,30.0,36.6,4.32,3.23,13.21,9.6,420.0,77.5
1729,RAC,real,See Table 3 (compiled sources),450.0,0.35,56.0,1.0,0.0,0.0,0.0,1.0,66.8,7.9,6.0,9.47,8.7,366.3,77.3
1730,RAC,real,See Table 3 (compiled sources),210.0,0.56,28.0,1.0,0.0,0.0,0.0,1.0,37.2,4.31,3.12,21.17,5.2,167.5,39.8
1731,RAC,real,See Table 3 (compiled sources),340.0,0.45,28.0,48.6,0.0,0.0,0.0,48.6,45.8,5.26,4.27,19.65,6.4,230.6,49.0
1732,RAC,real,See Table 3 (compiled sources),295.0,0.65,28.0,0.0,0.0,0.0,0.0,0.0,30.4,4.08,2.6,26.96,4.2,241.3,46.1
1733,RAC,real,See Table 3 (compiled sources),425.0,0.44,28.0,51.6,0.0,0.0,0.0,51.6,60.0,4.938870968,3.651791045,18.56,6.4,303.2,60.3
1734,RAC,real,See Table 3 (compiled sources),210.0,0.55,28.0,1.0,0.0,0.0,0.0,1.0,39.1,4.87,3.86,20.92,5.3,172.3,42.6
1735,RCWTB,augmented_literature_based,This study (synthetic augmentation),442.4,0.466,56.0,44.7,8.5,0.0,0.0,53.2,62.3,7.16,5.85,14.48,8.0,312.7,63.6
1736,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),516.8,0.519,90.0,27.0,16.8,0.0,0.0,43.8,59.0,7.23,5.41,14.91,8.8,392.0,77.1
1737,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),431.9,0.527,90.0,47.1,8.2,0.0,0.0,55.3,55.7,6.64,4.98,19.31,7.3,305.5,68.7
1738,RCWTB,augmented_literature_based,This study (synthetic augmentation),336.1,0.57,14.0,45.3,14.9,0.0,0.0,60.2,45.7,5.36,4.32,22.59,6.0,229.6,44.2
1739,RAC,real,See Table 3 (compiled sources),300.0,0.44,28.0,25.0,0.0,0.0,0.0,25.0,53.4,6.43,4.97,15.62,7.3,234.2,45.3
1740,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.5,28.0,100.0,0.0,0.0,0.0,100.0,25.1,3.33,2.13,28.18,5.2,221.6,38.4
1741,RAC,real,See Table 3 (compiled sources),413.0,0.412,7.0,100.0,0.0,0.0,0.0,100.0,43.0,5.29,3.65,25.0,5.2,249.4,43.1
1742,RAC,real,See Table 3 (compiled sources),380.0,0.84,28.0,100.0,0.0,0.0,0.0,100.0,14.5,2.0,1.5,30.0,3.0,218.2,31.5
1743,RCWTB,augmented_literature_based,This study (synthetic augmentation),496.6,0.508,90.0,37.1,16.6,0.0,0.0,53.7,62.6,7.49,5.79,14.83,8.9,367.7,70.6
1744,Ceramic,augmented_literature_based,This study (synthetic augmentation),306.2,0.42,7.0,46.2,0.0,17.4,0.0,63.6,48.8,6.09,4.37,17.64,7.3,197.6,41.1
1745,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.65,28.0,0.0,0.0,0.0,0.0,0.0,38.7,4.85,3.45,23.52,4.1,310.6,62.0
1746,RAC,real,See Table 3 (compiled sources),210.0,0.51,28.0,1.0,0.0,0.0,0.0,1.0,37.4,4.56,3.26,19.19,5.8,176.6,45.0
1747,RAC,real,"Hoang 2024, Mathematics (Ref 9)",284.0,0.38,7.0,0.0,0.0,0.0,0.0,0.0,17.8,2.0,1.54,17.51,6.8,235.6,47.5
1748,RAC,real,See Table 3 (compiled sources),380.0,0.45,7.0,0.0,0.0,0.0,0.0,0.0,18.5,2.74,1.54,19.45,5.8,309.6,49.1
1749,RAC,real,See Table 3 (compiled sources),330.0,0.56,3.0,1.0,0.0,0.0,0.0,1.0,22.1,3.1,1.89,23.67,4.5,274.2,49.4
1750,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.45,28.0,50.0,0.0,0.0,0.0,50.0,55.0,6.66,4.99,18.36,6.5,273.6,61.5
1751,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.6,28.0,50.0,0.0,0.0,0.0,50.0,34.7,4.51,3.36,27.1,3.8,267.2,43.7
1752,RAC,real,See Table 3 (compiled sources),262.0,0.649,28.0,100.0,0.0,0.0,0.0,100.0,20.0,2.25,2.03,30.0,4.1,122.1,15.0
1753,RAC,real,See Table 3 (compiled sources),360.0,0.58,3.0,2.0,0.0,0.0,0.0,2.0,24.9,2.36,2.82,24.58,4.5,286.6,49.7
1754,RAC,real,See Table 3 (compiled sources),280.0,0.688,60.0,100.0,0.0,0.0,0.0,100.0,39.9,4.48,3.46,30.0,4.0,140.9,24.5
1755,RAC,real,See Table 3 (compiled sources),262.0,0.649,7.0,100.0,0.0,0.0,0.0,100.0,14.0,2.04,1.5,30.0,3.3,124.4,15.0
1756,Ceramic,augmented_literature_based,This study (synthetic augmentation),357.7,0.399,28.0,24.9,0.0,20.2,0.0,45.1,54.6,6.19,4.84,14.96,8.3,251.7,51.3
1757,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.32,28.0,100.0,0.0,0.0,0.0,100.0,27.2,4.2,2.59,21.19,6.7,230.4,25.0
1758,RAC,real,See Table 3 (compiled sources),455.0,0.264,28.0,0.0,0.0,0.0,0.0,0.0,81.1,9.0,6.0,5.93,9.4,372.3,82.1
1759,RAC,real,See Table 3 (compiled sources),534.0,0.3,28.0,0.0,0.0,0.0,0.0,0.0,67.1,8.38,6.0,7.63,8.9,420.0,92.4
1760,Ceramic,augmented_literature_based,This study (synthetic augmentation),380.5,0.479,28.0,25.6,0.0,23.2,0.0,48.8,59.2,6.77,5.45,16.47,8.4,268.2,50.4
1761,RAC,real,See Table 3 (compiled sources),468.0,0.421,28.0,100.0,0.0,0.0,0.0,100.0,70.9,8.22,6.0,21.64,6.2,294.4,60.5
1762,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.5,28.0,20.0,0.0,0.0,0.0,20.0,51.7,6.2,4.67,19.11,6.3,286.8,59.1
1763,RAC,real,"Hoang 2024, Mathematics (Ref 9)",144.0,0.466,90.0,50.1,0.0,0.0,0.0,50.1,24.7,2.92,2.45,21.56,7.0,80.0,17.6
1764,RAC,real,See Table 3 (compiled sources),500.0,0.36,3.0,8.0,0.0,0.0,0.0,8.0,35.9,4.61,3.4,17.23,6.6,395.1,70.9
1765,Plastic,augmented_literature_based,This study (synthetic augmentation),429.3,0.519,7.0,23.0,0.0,0.0,11.1,34.1,39.8,4.65,3.62,23.42,5.3,326.7,63.5
1766,RCWTB,augmented_literature_based,This study (synthetic augmentation),482.7,0.459,28.0,37.0,9.2,0.0,0.0,46.2,52.9,6.63,4.73,17.94,6.5,353.7,64.7
1767,RAC,real,See Table 3 (compiled sources),210.0,0.6,3.0,1.0,0.0,0.0,0.0,1.0,16.6,2.0,1.5,27.42,3.8,170.1,26.1
1768,RAC,real,See Table 3 (compiled sources),450.0,0.44,28.0,2.0,0.0,0.0,0.0,2.0,58.0,7.11,5.6,15.56,6.9,367.6,81.8
1769,Plastic,augmented_literature_based,This study (synthetic augmentation),310.9,0.402,28.0,26.7,0.0,0.0,10.4,37.1,50.3,6.08,4.65,17.0,7.2,232.8,46.0
1770,Plastic,augmented_literature_based,This study (synthetic augmentation),412.7,0.42,90.0,45.0,0.0,0.0,11.0,56.0,61.0,7.0,5.48,14.52,8.2,287.0,55.5
1771,RAC,real,See Table 3 (compiled sources),380.0,0.5,1.0,100.0,0.0,0.0,0.0,100.0,5.6,2.0,1.5,30.0,4.5,232.0,24.3
1772,RAC,real,See Table 3 (compiled sources),280.0,0.52,3.0,0.0,0.0,0.0,0.0,0.0,25.6,3.07,2.28,21.98,5.1,237.9,49.1
1773,RAC,real,See Table 3 (compiled sources),450.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0,40.3,4.66,3.34,12.11,8.1,363.6,78.4
1774,RAC,real,See Table 3 (compiled sources),400.0,0.44,28.0,1.0,0.0,0.0,0.0,1.0,54.3,6.37,4.72,12.98,6.8,337.0,75.7
1775,RAC,real,See Table 3 (compiled sources),500.0,0.33,28.0,1.0,0.0,0.0,0.0,1.0,63.3,7.9,5.91,10.67,8.1,412.0,85.8
1776,RAC,real,See Table 3 (compiled sources),350.0,0.34,28.0,2.0,0.0,0.0,0.0,2.0,60.9,6.69,5.42,13.0,7.5,281.7,63.0
1777,Plastic,augmented_literature_based,This study (synthetic augmentation),333.1,0.593,14.0,44.9,0.0,0.0,12.4,57.3,32.0,3.32,2.57,28.96,3.0,232.7,43.9
1778,RAC,real,See Table 3 (compiled sources),500.0,0.34,28.0,1.0,0.0,0.0,0.0,1.0,60.6,6.81,5.55,10.14,8.1,409.0,82.4
1779,RAC,real,See Table 3 (compiled sources),380.0,0.42,28.0,20.0,0.0,0.0,0.0,20.0,48.5,5.55,4.36,16.55,7.2,289.7,62.1
1780,RCWTB,augmented_literature_based,This study (synthetic augmentation),303.9,0.513,56.0,39.4,10.6,0.0,0.0,50.0,54.2,6.58,5.07,18.75,7.0,215.5,48.4
1781,RAC,real,See Table 3 (compiled sources),280.0,0.4,3.0,1.0,0.0,0.0,0.0,1.0,25.3,2.97,2.48,17.9,6.3,228.7,40.4
1782,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.6,28.0,0.0,0.0,0.0,0.0,0.0,38.0,4.44,3.35,21.68,5.1,311.6,62.8
1783,RAC,real,See Table 3 (compiled sources),450.0,0.35,3.0,1.0,0.0,0.0,0.0,1.0,45.7,6.03,4.02,14.6,7.1,360.4,71.3
1784,RAC,real,See Table 3 (compiled sources),280.0,0.43,3.0,1.0,0.0,0.0,0.0,1.0,23.9,2.5,2.26,19.52,5.9,231.9,40.5
1785,RAC,real,See Table 3 (compiled sources),537.0,0.41,3.0,30.0,0.0,0.0,0.0,30.0,34.7,4.29,3.08,19.84,6.4,416.1,69.6
1786,Plastic,augmented_literature_based,This study (synthetic augmentation),361.8,0.491,90.0,40.3,0.0,0.0,5.2,45.5,54.9,6.75,4.92,18.82,7.2,250.3,50.5
1787,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.34,28.0,0.0,0.0,0.0,0.0,0.0,80.8,9.0,6.0,8.33,8.6,321.5,81.7
1788,RAC,real,See Table 3 (compiled sources),380.0,0.61,28.0,20.0,0.0,0.0,0.0,20.0,38.0,4.12,3.55,24.24,4.2,296.2,57.5
1789,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.29,28.0,0.0,0.0,0.0,0.0,0.0,70.5,7.0,6.0,8.13,8.9,304.4,72.2
1790,RAC,real,See Table 3 (compiled sources),380.0,0.7,28.0,73.0,0.0,0.0,0.0,73.0,28.1,3.71,2.43,30.0,2.8,257.5,38.3
1791,RAC,real,See Table 3 (compiled sources),461.0,0.52,7.0,0.0,0.0,0.0,0.0,0.0,17.6,2.0,1.81,23.5,4.6,371.7,60.9
1792,RAC,real,See Table 3 (compiled sources),388.0,0.299,56.0,30.0,0.0,0.0,0.0,30.0,53.9,6.33,5.05,11.57,8.4,285.8,62.6
1793,Combined,augmented_literature_based,This study (synthetic augmentation),450.2,0.353,7.0,24.8,10.0,13.5,6.1,54.4,56.8,6.78,4.82,13.24,9.5,329.7,64.5
1794,RAC,real,See Table 3 (compiled sources),350.0,0.34,28.0,2.0,0.0,0.0,0.0,2.0,60.9,7.08,5.9,11.26,8.4,289.5,62.6
1795,RAC,real,See Table 3 (compiled sources),300.0,0.55,28.0,2.0,0.0,0.0,0.0,2.0,47.0,5.66,4.15,19.71,5.3,235.4,50.4
1796,RCWTB,augmented_literature_based,This study (synthetic augmentation),448.6,0.325,28.0,37.2,7.1,0.0,0.0,44.3,61.7,7.71,5.6,12.55,8.6,330.0,65.4
